Name	Alias	Type	Site_primary
143B	143B_BONE	Bone sarcoma	bone
769P	769P_KIDNEY	Renal Cell Carcinoma	kidney
A3KAW	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
ABC1	ABC1_LUNG	Lung NSCLC	lung
ChAGOK1	CHAGOK1_LUNG	Lung NSCLC 	lung
CJM	CJM_SKIN	Melanoma	skin
COLO679	COLO679_SKIN	Melanoma	skin
CORL105	CORL105_LUNG	Lung NSCLC	lung
DMS114	DMS114_LUNG	Lung SCLC	lung
DND41	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Leukemia	haematopoietic_and_lymphoid_tissue
G402	G402_SOFT_TISSUE	Soft Tissue Sarcoma	kidney
HCC1500	HCC1500_BREAST	Breast	breast
HCC1806	HCC1806_BREAST	Breast	breast
HCC366	HCC366_LUNG	Lung NSCLC	lung
HCC95	HCC95_LUNG	Lung NSCLC	lung
HEC251	HEC251_ENDOMETRIUM	Endometrial	endometrium
HEC50B	HEC50B_ENDOMETRIUM	Endometrial	endometrium
HEKTE	HEKTE_KIDNEY	Renal Cell Carcinoma	kidney
HLC1	HLC1_LUNG	Lung NSCLC	lung
HUH1	HUH1_LIVER	Liver	liver
INA6	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
JHH5	JHH5_LIVER	Liver	liver
JHOS2	JHOS2_OVARY	Ovarian	ovary
KARPAS422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
KMM1	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
KYSE70	KYSE70_OESOPHAGUS	Esophageal	oesophagus
LC1SQSF	LC1SQSF_LUNG	Lung NSCLC	lung
LCLC103H	LCLC103H_LUNG	Lung NSCLC	lung
LCLC97TM1	LCLC97TM1_LUNG	Lung NSCLC	lung
LU99	LU99_LUNG	Lung NSCLC	lung
M059K	M059K_CENTRAL_NERVOUS_SYSTEM	GBM	central_nervous_system
MDAMB157	MDAMB157_BREAST	Breast	breast
MFE280	MFE280_ENDOMETRIUM	Endometrial	endometrium
MKN45	MKN45_STOMACH	Gastric	stomach
NCIH1373	NCIH1373_LUNG	Lung NSCLC	lung
NCIH1395	NCIH1395_LUNG	Lung NSCLC	lung
NCIH146	NCIH146_LUNG	Lung SCLC	lung
NCIH1568	NCIH1568_LUNG	Lung NSCLC	lung
NCIH1581	NCIH1581_LUNG	Lung NSCLC	lung
NCIH1648	NCIH1648_LUNG	Lung NSCLC	lung
NCIH1703	NCIH1703_LUNG	Lung NSCLC	lung
NCIH1781	NCIH1781_LUNG	Lung NSCLC	lung
NCIH1836	NCIH1836_LUNG	Lung SCLC	lung
NCIH2009	NCIH2009_LUNG	Lung NSCLC	lung
NCIH2030	NCIH2030_LUNG	Lung NSCLC	lung
NCIH2073	NCIH2073_LUNG	Lung NSCLC	lung
NCIH209	NCIH209_LUNG	Lung SCLC	lung
NCIH2126	NCIH2126_LUNG	Lung NSCLC	lung
NCIH358	NCIH358_LUNG	Lung NSCLC	lung
NCIH520	NCIH520_LUNG	Lung NSCLC	lung
NCIH841	NCIH841_LUNG	Lung SCLC	lung
OCIMY7	OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
OPM1	OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
OVTOKO	OVTOKO_OVARY	Ovarian	ovary
PLCPRF5	PLCPRF5_LIVER	Liver	liver
RH30	RH30_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
RL952	RL952_ENDOMETRIUM	Endometrial	endometrium
SCC4	SCC4_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
SKMES1	SKMES1_LUNG	Lung NSCLC	lung
SNU349	SNU349_KIDNEY	Renal Cell Carcinoma	kidney
SNU878	SNU878_LIVER	Liver	liver
SW1271	SW1271_LUNG	Lung SCLC	lung
SW837	SW837_LARGE_INTESTINE	Colon	large_intestine
T47D	T47D_BREAST	Breast	breast
U2OS	U2OS_BONE	Bone sarcoma	bone
U937	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
